image_path,object_label,factual_answer,hallucinated_answer,question_factual_alignment,question_hallucinated_alignment,alignment_gap,entropy_gap,topk_gap,center_shift,mean_js_divergence,mean_cosine_similarity,discriminability_score
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_11861.JPEG,chain saw,yes,no,0.897104443401656,0.7327562507482782,0.16434819265337774,-0.31743909269250636,0.1326124830331531,1.311774720347872,0.06057435427101306,0.7744636760268281,1.5366972672722627
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_5321.JPEG,cassette player,no,yes,0.8288445013787478,0.5891055805806771,0.2397389207980707,-0.31142177179614183,0.08681419452904504,1.0180274614520446,0.06200443871855893,0.7978856134295748,1.3197708209686743
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_8622.JPEG,tench,yes,no,0.8327473976462522,0.886195128230548,-0.05344773058429586,-0.08518903182420345,0.030453370691640946,0.8716316345748765,0.029284008862276435,0.9025505977577416,0.9543633740214488
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_17060.JPEG,cassette player,yes,no,0.8855917855575676,0.6627432004514722,0.2228485851060954,-0.23865481024611235,0.09294918307934857,0.6073053323903389,0.04815517000067582,0.7662602030130028,0.8783090874971101
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_13851.JPEG,cassette player,yes,no,0.7128137644082089,0.6470112568189261,0.06580250758928274,-0.12557904331943348,0.052642911670035875,0.695573265590988,0.019231687658753945,0.9564572732694286,0.7806074608390247
/root/AI Trusty/imagenette2-320/val/n03000684/ILSVRC2012_val_00007460.JPEG,chain saw,yes,no,0.8295215494821844,0.828745809602977,0.0007757398792074266,-0.23263347062634487,0.08333498741058182,0.7053049163478416,0.04840060491516272,0.856958458807175,0.7544812611422118
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_3691.JPEG,English springer,yes,no,0.7856938798517683,0.7552212844883637,0.03047259536340463,-0.09910522506143238,0.043875902606941575,0.6985442732828627,0.01924449619168164,0.9494829968812603,0.748261364837949
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_18521.JPEG,chain saw,yes,no,0.8679904385681663,0.6893155974336341,0.17867484113453214,-0.2147107550975509,0.09051352114475869,0.5123539656350699,0.03834653198030082,0.8148234826915092,0.7293753387499028
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_3522.JPEG,French horn,yes,no,0.8611849791292618,0.7045682094379092,0.15661676969135263,-0.22460947050586189,0.07626489321069246,0.5134419081560655,0.044401396680647,0.7660868565774068,0.7144600745280651
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_6581.JPEG,garbage truck,yes,no,0.772563489210847,0.7772693394940023,-0.004705850283155288,-0.06355663735429751,0.01498738833429486,0.6767296275639637,0.03100108480393498,0.9069971446346189,0.7124365626510539
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_8250.JPEG,tench,no,yes,0.8467819493546463,0.7716187731234077,0.0751631762312387,-0.09108911360734151,0.04012522105608779,0.6096080378378146,0.020088192188691355,0.9530627054280839,0.7048594062577447
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_6201.JPEG,golf ball,yes,no,0.7976336901004143,0.6780561079654984,0.11957758213491587,-0.17001128948174848,0.07048879635814326,0.5393364593727454,0.039141687516484745,0.819597715655962,0.698055729024146
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_6491.JPEG,church,yes,no,0.8081938101699899,0.7877814084436366,0.02041240172635328,-0.0435121721130205,0.022750081708985626,0.6066782476918062,0.022610542152163637,0.9462049824723396,0.6497011915703231
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_49081.JPEG,parachute,yes,no,0.8227691201685983,0.8083769423348893,0.014392177833708941,-0.09282674207298935,0.04154787494370704,0.6053117197669922,0.02321403424214726,0.923364898095468,0.6429179318428484
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_10350.JPEG,gas pump,yes,no,0.8053295321516232,0.80049754630984,0.004831985841783126,-0.2114106780951852,0.07538524321746687,0.5938348414298766,0.040257946344883874,0.8718545015382253,0.6389247736165437
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_13230.JPEG,gas pump,yes,no,0.8293508656739623,0.8012813875835666,0.028069478090395727,-0.10734986701377558,0.05195290195078339,0.5827139709357156,0.02575603611350855,0.9140470014502127,0.6365394851396199
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_10141.JPEG,golf ball,yes,no,0.767911304770556,0.6863364205414222,0.08157488422913384,-0.1410161175689879,0.06555064601457977,0.4710135840222953,0.03320547277709905,0.8516279356646177,0.5857939410285282
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_10050.JPEG,parachute,yes,no,0.7752417604301218,0.730193964372903,0.04504779605721887,-0.06579895956271908,0.029368260050891326,0.5249197229132103,0.014601461077955685,0.9596942316854629,0.5845689800483849
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_17432.JPEG,church,yes,no,0.7824277620224435,0.7455234763826811,0.036904285639762335,-0.02279719549819781,-0.002274553175221572,0.5200609887236289,0.022084830831096712,0.9187221290682362,0.579050105194488
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_960.JPEG,English springer,no,yes,0.813712478089897,0.7454307556690525,0.06828172242084452,-0.07715915750787072,0.03677043898798421,0.44992022425708855,0.02109222198547816,0.9427122048271735,0.5392941686634112
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_30521.JPEG,parachute,yes,no,0.8488732886407532,0.8682215912561771,-0.019348302615423973,-0.05529446435171792,0.022739799886121737,0.4840553243898427,0.01686228898374322,0.9549388508408693,0.52026591598901
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_3472.JPEG,cassette player,yes,no,0.8237422316047955,0.776312565287846,0.04742966631694956,-0.10901781418368728,0.04054725961669803,0.4392373962806363,0.017403021655215616,0.9377365401021729,0.5040700842528014
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_13251.JPEG,tench,yes,no,0.8444494105837509,0.8336959406471498,0.01075346993660109,0.001398730989793151,-0.012761528124001442,0.4438172059870561,0.020150714761718362,0.9347888300822532,0.47472139068537555
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_12030.JPEG,golf ball,no,yes,0.8487583305437916,0.7791335884942451,0.0696247420495465,-0.11917541573367973,0.0373481157936591,0.37976114885830586,0.02124168745924788,0.9199849507251399,0.47062757836710023
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_3260.JPEG,English springer,yes,no,0.8028470030299577,0.7583454130374393,0.04450158999251841,-0.08828457544431689,0.045918303661171334,0.40231413328086646,0.017165909262489194,0.9534043964939295,0.46398163253587404
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_3792.JPEG,English springer,yes,no,0.8153766957034139,0.7786516569806453,0.036725038722768555,-0.1114829568293434,0.04185969472004225,0.39700566443316176,0.021999993554522704,0.9395886976429246,0.455730696710453
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_1870.JPEG,English springer,yes,no,0.7964176289654505,0.7675218559465393,0.02889577301891122,-0.13965772289022294,0.058180557767498364,0.3992341548355495,0.019183758722628213,0.9591099809893274,0.447313686577089
/root/AI Trusty/imagenette2-320/val/n03425413/ILSVRC2012_val_00009821.JPEG,gas pump,yes,no,0.8093747780239349,0.7708173032748528,0.03855747474908211,-0.07235741800519513,0.035284005611706915,0.3900932596996006,0.01465309225728467,0.9533822798377632,0.4433038267059674
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_47211.JPEG,French horn,yes,no,0.6824920998808185,0.6605044195678147,0.0219876803130038,-0.04950061988034271,0.028575424339951416,0.389645279279411,0.022234281651534644,0.9437327103666624,0.43386724124394943
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_44831.JPEG,French horn,yes,no,0.8359448051160975,0.7575669631836246,0.07837784193247288,-0.10064539974031916,0.03486600221258396,0.31318910980378234,0.03881765650895488,0.8066827408414474,0.4303846082452101
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_22.JPEG,garbage truck,no,yes,0.7886268018125862,0.6789161998638573,0.10971060194872884,-0.14996610289266865,0.05554296596858166,0.2795118608611921,0.03665303062573639,0.8807249344985607,0.42587549343565734
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_1911.JPEG,gas pump,yes,no,0.8212159287300431,0.7855225401050996,0.035693388624943534,-0.07030587077263917,0.036404161086340925,0.36875480976666664,0.015160588938082146,0.9496679359527961,0.4196087873296923
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_3011.JPEG,tench,yes,no,0.850520374805205,0.8114282417965755,0.03909213300862957,-0.07503112939951073,0.03365306754652969,0.35377130487009273,0.02058716468816148,0.9313367138345267,0.41345060256688376
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_14362.JPEG,golf ball,yes,no,0.8377143475372072,0.8168000613665239,0.02091428617068325,-0.05457115577754035,0.01377053568740555,0.3696932092507616,0.02263947623503108,0.9208164407897698,0.41324697165647595
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_6761.JPEG,chain saw,yes,no,0.7517984481841985,0.7176353025149197,0.034163145669278805,-0.07502822265180242,0.035048340499163444,0.3563266080924125,0.017494536907355144,0.9525899974290308,0.40798429066904646
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_6052.JPEG,tench,no,yes,0.8675921635691327,0.7984633144859776,0.06912884908315509,-0.08018257642646098,0.0346831671129878,0.3128334127253085,0.023507626846392453,0.9331345433598619,0.40546988865485606
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_5620.JPEG,English springer,yes,no,0.8140146427282939,0.7634352741824691,0.05057936854582479,-0.06470104793288733,0.03452683298492043,0.3346366802043991,0.01855007376266824,0.9399180256273783,0.4037661225128921
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_46870.JPEG,parachute,yes,no,0.813025605727997,0.7282298677943765,0.0847957379336205,-0.18214480959834667,0.08017599501687239,0.2898106494519042,0.025603632144033096,0.8871882492805828,0.4002100195295578
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_10032.JPEG,church,yes,no,0.828069212290273,0.8140492757038253,0.014019936586447623,-0.07606386583379088,0.03746745090415177,0.36932152114205347,0.012718168920223672,0.9662267478139397,0.39605962664872474
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_6550.JPEG,tench,yes,no,0.8723034444556699,0.8300160857325884,0.042287358723081425,-0.04769377599533886,0.03468255009393245,0.3370533624917886,0.01603203419229925,0.9461845713841418,0.39537275540716926
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_27850.JPEG,chain saw,yes,no,0.7414222621356369,0.7045869263810933,0.03683533575454356,-0.11563930995696037,0.04114978260093466,0.3257465295796449,0.018352770150560728,0.9576567036604609,0.3809346354847492
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_9770.JPEG,parachute,yes,no,0.7702050606381569,0.742865178361904,0.027339882276252836,-0.075752537235668,0.033590529679099757,0.3342280345254157,0.016782070579231985,0.9554442190877178,0.37834998738090053
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_15382.JPEG,cassette player,yes,no,0.7812735440608811,0.8104547255978156,-0.029181181536934497,-0.05341335584795548,0.022458624201059763,0.3268151519717378,0.022318456150081212,0.9353291350546965,0.37831478965875354
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_2280.JPEG,English springer,yes,no,0.7514797128575865,0.6962188743477806,0.0552608385098059,-0.07660173465233555,0.029579685773027997,0.2999755859452961,0.014183557587776802,0.9631444692479729,0.3694199820428788
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_13642.JPEG,gas pump,yes,no,0.7646808981617715,0.7372492698346532,0.027431628327118318,-0.08735265664457792,0.043958134920115355,0.32536314848245135,0.013723100632645818,0.9616347170010088,0.3665178774422155
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_5442.JPEG,parachute,yes,no,0.8270758054630813,0.7894902511115711,0.03758555435151023,-0.10131086779640697,0.05362844814391399,0.3024899551943331,0.025131892781460212,0.8981989300885204,0.36520740232730353
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_3651.JPEG,parachute,no,yes,0.8320199845039871,0.7719612548725445,0.06005872963144254,-0.045830770148230116,0.01603620859834559,0.26229378602471876,0.019620464630822808,0.9451171398069326,0.3419729802869841
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_652.JPEG,gas pump,yes,no,0.7385075017860727,0.7021625808185299,0.036344920967542826,-0.0702646537799092,0.029084379948999706,0.2828085533761567,0.014562781803546131,0.9604624058051693,0.33371625614724565
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_4761.JPEG,garbage truck,yes,no,0.735326458127888,0.7393702484174538,-0.004043790289565807,-0.07479996317572635,0.04166758271782384,0.3076476435007929,0.019295199997463076,0.9473219905695122,0.3309866337878218
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_3700.JPEG,church,yes,no,0.8441626024675645,0.7925637059933116,0.051598896474252864,-0.054199055253358885,0.02141960494527878,0.2609803663226271,0.018162527110158005,0.9439626239533144,0.33074178990703795
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_29622.JPEG,French horn,yes,no,0.765591387251687,0.7537436726422,0.01184771460948697,-0.06860994034248336,0.03208016676608333,0.2923063631473304,0.01981681225308579,0.9427649608192332,0.32397089000990315
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_1302.JPEG,English springer,yes,no,0.755938398815547,0.6866434998434734,0.06929489897207364,-0.11406050648317656,0.04947966133013726,0.2258981670521683,0.02761663752287653,0.9228780178597035,0.32280970354711847
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_21432.JPEG,parachute,yes,no,0.8717741300467149,0.858959658650553,0.012814471396161875,-0.07784123702469259,0.039196169879874676,0.2937110761761148,0.01601125534087464,0.9549256565732088,0.32253680291315134
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_12212.JPEG,parachute,no,yes,0.7903118907619904,0.7304820904976188,0.05982980026437157,-0.10600192115494256,0.03802205511640505,0.24608990937461828,0.014773032539247501,0.9662541023353638,0.32069274217823734
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_14622.JPEG,gas pump,yes,no,0.797749689897852,0.7914512817387533,0.006298408159098656,-0.09819813092746887,0.046241812033952334,0.2741524311163987,0.028157156597870988,0.8816449082670436,0.30860799587336835
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_1870.JPEG,cassette player,no,yes,0.8310068141267491,0.7732617947105991,0.05774501941615007,-0.06776143129598466,0.03197367874881796,0.2161323499555397,0.031817613497584205,0.8721030273841054,0.305694982869274
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_5031.JPEG,golf ball,yes,no,0.8018898537579814,0.8138905829024385,-0.012000729144457156,-0.021225779923041976,0.0024477556259573374,0.2629076886680172,0.027550394784874793,0.9028829966101588,0.3024588125973492
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_6882.JPEG,gas pump,yes,no,0.7578406255552188,0.7582699814600256,-0.0004293559048067497,-0.031116139876453452,0.012648277162937205,0.2755314690983182,0.02298127689410679,0.9265127144982781,0.29894210189723175
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_79790.JPEG,church,yes,no,0.8273730128953007,0.8196094795865395,0.007763533308761228,-0.06618522668953286,0.02754082458684498,0.26885700042995847,0.015747050413347723,0.9549470162474247,0.29236758415206743
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_46931.JPEG,French horn,yes,no,0.7243783751626645,0.7128658179243458,0.011512557238318677,-0.04383883988101722,0.010696235701391554,0.2614212079291961,0.014515735044779713,0.9651667771145468,0.2874495002122945
/root/AI Trusty/imagenette2-320/val/n03888257/n03888257_29201.JPEG,parachute,yes,no,0.8088073810459813,0.727477449026826,0.08132993201915528,-0.11733002215318677,0.046887810141743536,0.16907639046262604,0.03150697204703663,0.8700783591823154,0.28191329452881797
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_36911.JPEG,French horn,yes,no,0.7435725011768675,0.716830285028589,0.02674221614827843,-0.018671407155988362,0.007394264492312952,0.22868997143866218,0.01785527619610702,0.9495403925850631,0.27328746378304763
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_14190.JPEG,tench,no,yes,0.8434091160218561,0.7685878138330685,0.07482130218878758,-0.08307119439225108,0.03642991861843842,0.1773553511667684,0.018690157964966765,0.9501579987597871,0.2708668113205227
/root/AI Trusty/imagenette2-320/val/n03394916/ILSVRC2012_val_00033682.JPEG,French horn,yes,no,0.783231721568644,0.7573875157742662,0.02584420579437774,-0.05538440351655449,0.027515467879786537,0.22198139775114384,0.01624842393728786,0.9574751011499496,0.26407402748280945
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_1310.JPEG,tench,no,yes,0.8643658932733685,0.8315054027852103,0.0328604904881582,-0.06708936842366953,0.03307321607506036,0.2124011558884823,0.01834471608611893,0.9304639575353072,0.2636063624627594
/root/AI Trusty/imagenette2-320/val/n03445777/ILSVRC2012_val_00009902.JPEG,golf ball,yes,no,0.7605602964204514,0.7306393010616083,0.029920995358843072,-0.08092319376040003,0.036212257924649716,0.20803402840416513,0.019294011031032482,0.944134833248344,0.2572490347940407
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_5221.JPEG,garbage truck,yes,no,0.7398136368829141,0.7142717429956977,0.025541893887216394,-0.06836737816677996,0.03237219412727871,0.21713491182966443,0.0136263853736936,0.9632918467923978,0.2563031910905744
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_2051.JPEG,English springer,yes,no,0.8288559052293997,0.7855869848003765,0.043268920429023194,-0.06615038973538567,0.0372613270371982,0.17603446582162133,0.02953259021648564,0.8672604269059063,0.24883597646713015
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_7191.JPEG,garbage truck,yes,no,0.7592079935894643,0.7495495580700436,0.009658435519420694,-0.027046053030620243,0.011895955124267499,0.22124053279465203,0.014293386958284287,0.9617493601272706,0.245192355272357
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_30072.JPEG,French horn,yes,no,0.7924589244185023,0.7794660923588942,0.012992832059608106,-0.05738315607801692,0.024662191816371304,0.2136708584298434,0.01383008783440241,0.9691564679334025,0.2404937783238539
/root/AI Trusty/imagenette2-320/val/n02979186/ILSVRC2012_val_00028911.JPEG,cassette player,yes,no,0.7795841870799649,0.7645468369105285,0.015037350169436414,-0.0713398283599389,0.03551656752365845,0.20385077829237394,0.014316820197721328,0.9598899692879644,0.23320494865953167
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_4001.JPEG,cassette player,yes,no,0.8007999660074778,0.8498144844786485,-0.049014518471170665,-0.04350630072629169,0.01336876205089943,0.15050595722634802,0.032129156032649694,0.8877069331192878,0.2316496317301684
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_8732.JPEG,golf ball,yes,no,0.8082772233583461,0.7976206324218335,0.010656590936512611,-0.0648187661153905,0.03655307033264815,0.20266443867763156,0.015532199159867302,0.9619239048372735,0.22885322877401149
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_2241.JPEG,garbage truck,yes,no,0.7865317956055473,0.7605404872156897,0.025991308389857637,-0.060850870440013693,0.03349820459531744,0.17923275198637917,0.02238469668683063,0.9285057837906436,0.22760875706306744
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_59261.JPEG,church,yes,no,0.810214197046693,0.8218467285125645,-0.01163253146587151,-0.03230628165509142,0.012556998363779992,0.19415529313504934,0.018645905063423934,0.9402375027271622,0.22443372966434477
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_10721.JPEG,golf ball,yes,no,0.7231155105972835,0.7295740362878934,-0.006458525690609895,-0.05879916336312352,0.02353173643170503,0.19959546459288813,0.01666502164599871,0.9535055442875907,0.22271901192949672
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_54570.JPEG,French horn,yes,no,0.8056815541492702,0.8055903682969471,9.118585232315013e-05,-0.05842078949316942,0.01850221551685205,0.20378833189415774,0.018762681023450096,0.948589634232224,0.222642198769931
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_4512.JPEG,tench,yes,no,0.8517881195443547,0.8315252442581046,0.020262875286250148,-0.055218764022607836,0.021709794444597696,0.1869678712761273,0.015336354465620452,0.9506589052387849,0.2225671010279979
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_19472.JPEG,garbage truck,yes,no,0.775148705947429,0.7857461046892037,-0.010597398741774677,-0.01904966701208366,0.006891305899040467,0.17701492556879087,0.021020604429594088,0.9293364454992376,0.20863292874015962
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_3651.JPEG,golf ball,yes,no,0.793243255374936,0.7989203719078413,-0.0056771165329052575,-0.0617271411111977,0.007006260355434002,0.17605384191608273,0.021437180179880104,0.9271328820421875,0.2031681386288681
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_6292.JPEG,church,yes,no,0.8008735543322387,0.751019514566693,0.0498540397655457,-0.09545251429576673,0.028598087897081736,0.1298699440218825,0.021011855322213606,0.9443967944978546,0.20073583910964182
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_14672.JPEG,gas pump,yes,no,0.7932242616305392,0.776878125773954,0.016346135856585176,-0.04347043001256701,0.021533455735187723,0.16551784071894604,0.017629193433843223,0.9438445775642634,0.19949317000937444
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_11.JPEG,garbage truck,yes,no,0.7766548344577386,0.7516746415820376,0.02498019287570108,-0.04164194423009793,0.022168355957100983,0.15921142457399418,0.015158306279848505,0.9495886269107289,0.19934992372954377
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_11072.JPEG,garbage truck,yes,no,0.7648393647362592,0.7516216171984033,0.013217747537855984,-0.09355241171810302,0.044862488985916216,0.1620357399761887,0.019636975237572053,0.9420250743741253,0.19489046275161673
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_4210.JPEG,chain saw,yes,no,0.8431135456098778,0.837125839382833,0.005987706227044809,-0.05112225477815979,0.02653547464266831,0.1705996263949129,0.015821743618457392,0.9480160591573172,0.19240907624041512
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_441.JPEG,garbage truck,yes,no,0.6993542492106836,0.7006833717745417,-0.0013291225638580872,-0.020899418170744255,0.011532271794300775,0.1771860040769217,0.012624999716070059,0.9672172551394397,0.19114012635684985
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_1621.JPEG,cassette player,yes,no,0.7854651793878162,0.787642429881684,-0.002177250493867744,-0.04826662713200669,0.02800976980034231,0.16234090656769204,0.013888758179119779,0.9582959012152709,0.17840691524067956
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_12021.JPEG,tench,yes,no,0.856814194890962,0.8590095575110136,-0.0021953626200515997,-0.004682785176394866,0.008203311638325606,0.1543520455532931,0.019108195962796653,0.9390838022103638,0.17565560413614134
/root/AI Trusty/imagenette2-320/val/n03445777/n03445777_9572.JPEG,golf ball,yes,no,0.7908250940297921,0.7743148590323765,0.01651023499741555,-0.07941310942714885,0.032423566633786094,0.1364693273500302,0.021637930472080624,0.9347678788302461,0.17461749281952638
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_19300.JPEG,chain saw,yes,no,0.8042161585280798,0.8092535001191404,-0.005037341591060618,-0.005023464543750578,-0.008159606624005888,0.13370921731264984,0.020503099917920597,0.9312461419633726,0.15924965882163106
/root/AI Trusty/imagenette2-320/val/n03000684/ILSVRC2012_val_00011170.JPEG,chain saw,yes,no,0.7261336028180942,0.7212377170490749,0.004895885769019337,-0.04360698537230778,0.023002475690854063,0.13522266022874502,0.015091886567492996,0.9583633548443155,0.15521043256525735
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_14371.JPEG,church,yes,no,0.7985036895472417,0.7566986126794848,0.04180507686775692,-0.13890508873989305,0.06259206736421263,0.08092244571400405,0.016299077959573048,0.9530387790064375,0.139026600541334
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_811.JPEG,English springer,yes,no,0.820500082585435,0.7776068803587904,0.04289320222664461,-0.08384804025759962,0.03851301165905574,0.07689506848349698,0.017081635471505704,0.9443931353123144,0.1368699061816473
/root/AI Trusty/imagenette2-320/val/n03425413/n03425413_8661.JPEG,gas pump,yes,no,0.7512302747212288,0.7588426632304095,-0.0076123885091806676,-0.0231341073310789,0.010259300034734131,0.10468630295610874,0.014711901546045658,0.959390304586271,0.12701059301133505
/root/AI Trusty/imagenette2-320/val/n03028079/n03028079_50060.JPEG,church,yes,no,0.7665231152217895,0.7556448778804632,0.010878237341326313,-0.03327038338771082,0.02258512569286042,0.09398715854585991,0.014948324222831105,0.9676727442803587,0.11981372011001733
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_15441.JPEG,chain saw,yes,no,0.7668981788119039,0.7817193545941141,-0.014821175782210205,-0.04203271503389239,0.0173176594353312,0.08432669358823934,0.013190286708336081,0.9582641873781298,0.11233815607878563
/root/AI Trusty/imagenette2-320/val/n03028079/ILSVRC2012_val_00028310.JPEG,church,yes,no,0.7978109727743962,0.796504416138888,0.0013065566355081604,-0.01913632675655741,0.007656414625651531,0.06602934487824212,0.01804241631749904,0.9455282345028229,0.08537831783124933
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_6392.JPEG,chain saw,yes,no,0.8526521639724484,0.8680718069703436,-0.015419642997895222,-0.03603276922893528,0.003923166687213098,0.055548662344997744,0.012904758361670208,0.9597846539215998,0.08387306370456317
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_5962.JPEG,cassette player,yes,no,0.8580660876303494,0.8694906638902857,-0.011424576259936314,-0.06176887453686586,0.02323886409781356,0.051599918993528955,0.016493244783682533,0.9442679364771053,0.0795177400371478
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_56022.JPEG,French horn,yes,no,0.8181815430160697,0.8250324247296058,-0.006850881713536094,-0.00845376537524789,-0.008398260860241202,0.03419856674227943,0.019150621141920048,0.9405320538829572,0.06020006959773558
